Time,x,y,z,w
23.82,0.005295387416805445,0.0128313495505183,0.2632633066879535,0.9646241478900178
23.821,0.00529876010737978,0.012833790522489282,0.26328721932347826,0.9646175703889392
23.822,0.0053018954976246915,0.012837154166802507,0.26331107347573535,0.964610997222241
23.823,0.005304804678570266,0.012841475425111762,0.2633349031452371,0.9646044185787856
23.824,0.005307501278963222,0.012846778259816567,0.26335874250419683,0.9645978247254786
23.825,0.0053100013438419705,0.012853075257453609,0.26338262927494305,0.9645912050907227
23.826,0.005312363414620574,0.012860341468981953,0.263406593533448,0.9645845514496679
23.827,0.005314606125165285,0.012868567106927306,0.26343066739330534,0.9645778550324834
23.828,0.005316749795359341,0.012877730739270173,0.2634548814758659,0.96457110761683
23.829,0.005318816147248797,0.012887799483034113,0.2634792645218098,0.9645643016338119
23.83,0.005320828001973784,0.012898729343217032,0.2635038430254392,0.9645574302660928
23.831,0.0053228089617639324,0.01291046569480075,0.2635286408971328,0.9645504875366607
23.832,0.005324783081576883,0.012922943903526567,0.2635536791590098,0.9645434683868583
23.833,0.005326774535170841,0.012936090079064095,0.2635789756783396,0.9645363687424519
23.834,0.005328807280529763,0.012949821952166502,0.26360454494262214,0.964529185566703
23.835,0.005330904663995737,0.01296404989267669,0.26363039299077695,0.9645219182358544
23.836,0.005333126541629165,0.012978631308350258,0.2636565301144065,0.9645145654777245
23.837,0.00533549281775705,0.012993466899172508,0.2636829597937028,0.96450712752616
23.838,0.0053380219862133324,0.013008453457016336,0.2637096817066517,0.9644996057200375
23.839,0.005340730868183586,0.01302348517135719,0.2637366917447832,0.9644920024838476
23.84,0.0053436343758235085,0.013038454972420895,0.2637639820778412,0.9644843212940427
23.841,0.005346745304846767,0.01305325589357829,0.26379154126584486,0.9644765666317726
23.842,0.005350074158767572,0.01306778243442562,0.26381935441632165,0.9644687439228383
23.843,0.005353629006938054,0.013081931905939736,0.26384740338387414,0.9644608594658736
23.844,0.005357415377952912,0.013095605739362689,0.26387566700871024,0.9644529203499234
23.845,0.005361435979449505,0.013108710827273433,0.2639041059226879,0.9644449385951653
23.846,0.005365689138127436,0.013121136180144878,0.2639327049942544,0.9644369198655924
