Time,phi,theta,psi
35.405,-0.006929344598719061,0.024430791737084734,0.18642619257034018
35.406,-0.006921070089214917,0.024435896294911386,0.18633893861727122
35.407,-0.006913634552856264,0.024439968496606568,0.18625297260714646
35.408,-0.006907002134819508,0.02444292715095364,0.1861682103545817
35.409,-0.006901129727195151,0.024444699524627023,0.1860845580434132
35.41,-0.006895967262373999,0.02444522186419995,0.18600191300154142
35.411,-0.006891458072674786,0.02444443984294553,0.18592016454884308
35.412,-0.006887539316850526,0.02444230893262178,0.1858391949098458
35.413,-0.006884142473172981,0.02443879470083332,0.18575888018228828
35.414,-0.006881193897750204,0.024433873034859444,0.1856790913522362
35.415,-0.006878616671534042,0.024427529947792292,0.18559964516041763
35.416,-0.006876270859684859,0.024419852832207933,0.18552044593012917
35.417,-0.006874073069607297,0.02441084619426448,0.18544135583894988
35.418,-0.006871937551790412,0.024400525162130426,0.18536223627087914
35.419,-0.006869777027991329,0.024388915355514573,0.18528294891734604
35.42,-0.006867503551712406,0.024376052687767213,0.18520335686667289
35.421,-0.006865029391609543,0.024361983101363283,0.18512332567305767
35.422,-0.006862267927622041,0.024346762237518416,0.18504272439663783
35.423,-0.006859134548918879,0.024330455040704413,0.18496142660676154
35.424,-0.006855547542262178,0.02431313529888013,0.18487931134121907
35.425,-0.006851428790277923,0.02429488516801359,0.18479627096129808
35.426,-0.006846705184594114,0.024275904911140733,0.1847121924613091
35.427,-0.0068413089338560055,0.02425628779387279,0.18462697643562434
35.428,-0.00683517836944956,0.024236133575757046,0.18454053221733233
35.429,-0.0068282586105626215,0.024215547747345578,0.18445277853388287
35.43,-0.006820502153133175,0.02419464071432631,0.18436364408952594
35.431,-0.006811869374037303,0.02417352693239616,0.18427306807193863
35.432,-0.006802328943127724,0.024152323997261638,0.18418100058097786
35.433,-0.006791858137146951,0.024131151694919417,0.18408740297799336
35.434,-0.006780443051087045,0.0241101310181433,0.18399224815457735
35.435,-0.006768077407782284,0.024089383520295327,0.18389557452048944
35.436,-0.0067548160220902076,0.024069073910700345,0.18379733517851962
35.437,-0.006740670251075778,0.024049318950580822,0.18369753834061103
35.438,-0.0067256600695200005,0.0240302325393682,0.18359620401777535
35.439,-0.0067098137598875385,0.02401192467996438,0.18349336388173731
35.44,-0.006693167509505754,0.023994500460572388,0.18338906104604763
35.441,-0.006675764922125696,0.02397805906332029,0.18328334976763205
35.442,-0.0066576564523441175,0.02396269281012753,0.1831762950700125
35.443,-0.006638898772485797,0.023948486256353263,0.18306797228974106
35.444,-0.0066195540824491705,0.023935515342685898,0.18295846654791345
35.445,-0.00659968744291422,0.023923847148795474,0.18284795284290942
35.446,-0.006579438481157505,0.023913474507101462,0.18273647007353241
35.447,-0.006558879063917351,0.02390444513560208,0.18262412881476292
35.448,-0.006538083529990142,0.023896795491797462,0.18251104661123121
35.449,-0.0065171278915728765,0.023890550361747476,0.18239734711577538
35.45,-0.006496089047158872,0.023885722558316447,0.18228315917388838
35.451,-0.006475044015830909,0.02388231273379038,0.1821686158595187
35.452,-0.006454069201805441,0.02388030931072338,0.18205385346833733
